client,tau=5,tau=10,tau=15,tau=20,tau=25,tau=30,agg_pnl,delta^*
A,1.2682317755801125,1.5401746097719555,1.7372740946939358,2.06133059229346,2.292701282331468,2.485176068113626,1.8974814037974266,0.0
B,1.2113940064344368,1.3424757670290723,1.5420046755602423,1.7256209741235875,1.9090792511371246,2.0585512015198635,1.631520979300721,0.0
C,1.076719524112398,1.1649627626384758,1.189767915793244,1.1621164291259827,1.2285004637940786,1.2164639505509292,1.1730885076691846,0.0
D,0.8678360978248953,0.6815380683969988,0.49288941418387916,0.17715177353317385,-0.07605948119173996,-0.3469036418205086,0.29940870515444973,0.009613950388830443
E,0.6528150271346406,0.30258358371922456,-0.1080685264205649,-0.5724450821395998,-1.0687389717401599,-1.6143543787163988,-0.40136805802714304,0.01898267235243712
F,0.4452227341275499,-0.17642754184009996,-0.9167770247356555,-1.7509546449930617,-2.6138595277737964,-3.629396570881775,-1.440365429349473,0.03286624797110603
